Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
Regulus was killed in the process while Kreacher escaped with the Horcrux locket .,"['process', 'Kreacher', 'locket']","['process:killed', 'Kreacher:escaped', 'locket:escaped']",['Regulus'],['Regulus:killed'],-0.6705,"[(('killed', 'VBN'), 'nsubjpass', ('Regulus', 'NNS')), (('killed', 'VBN'), 'auxpass', ('was', 'VBD')), (('killed', 'VBN'), 'nmod', ('process', 'NN')), (('process', 'NN'), 'case', ('in', 'IN')), (('process', 'NN'), 'det', ('the', 'DT')), (('killed', 'VBN'), 'advcl', ('escaped', 'VBD')), (('escaped', 'VBD'), 'mark', ('while', 'IN')), (('escaped', 'VBD'), 'nsubj', ('Kreacher', 'NNP')), (('escaped', 'VBD'), 'nmod', ('locket', 'NN')), (('locket', 'NN'), 'case', ('with', 'IN')), (('locket', 'NN'), 'det', ('the', 'DT')), (('locket', 'NN'), 'compound', ('Horcrux', 'NNP'))]"
"Kreacher also tells Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley that Mundungus stole the locket , and Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley send Kreacher to find him .","['Kreacher', 'Mundungus', 'Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley']","['Kreacher:tells', 'Mundungus:stole', 'Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley:send']","['Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley', 'locket', 'Kreacher', 'him']","['Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley:tells', 'locket:stole', 'Kreacher:send', 'him:find']",0.0,"[(('tells', 'VBZ'), 'nsubj', ('Kreacher', 'NNP')), (('tells', 'VBZ'), 'advmod', ('also', 'RB')), (('tells', 'VBZ'), 'dobj', ('Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley', 'NNP')), (('tells', 'VBZ'), 'ccomp', ('stole', 'VBD')), (('stole', 'VBD'), 'mark', ('that', 'IN')), (('stole', 'VBD'), 'nsubj', ('Mundungus', 'NNP')), (('stole', 'VBD'), 'dobj', ('locket', 'NN')), (('locket', 'NN'), 'det', ('the', 'DT')), (('tells', 'VBZ'), 'cc', ('and', 'CC')), (('tells', 'VBZ'), 'conj', ('send', 'VBP')), (('send', 'VBP'), 'nsubj', ('Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Regulus-Potter-Sirius-Dursley', 'NNP')), (('send', 'VBP'), 'dobj', ('Kreacher', 'NNP')), (('send', 'VBP'), 'xcomp', ('find', 'VB')), (('find', 'VB'), 'mark', ('to', 'TO')), (('find', 'VB'), 'dobj', ('him', 'PRP'))]"
"While waiting for Kreacher , the trio are visited by Remus .","['Kreacher', 'Remus']","['Kreacher:waiting', 'Remus:visited']",['trio'],['trio:visited'],0.0,"[(('visited', 'VBN'), 'advcl', ('waiting', 'VBG')), (('waiting', 'VBG'), 'mark', ('While', 'IN')), (('waiting', 'VBG'), 'nmod', ('Kreacher', 'NNP')), (('Kreacher', 'NNP'), 'case', ('for', 'IN')), (('visited', 'VBN'), 'nsubjpass', ('trio', 'NN')), (('trio', 'NN'), 'det', ('the', 'DT')), (('visited', 'VBN'), 'auxpass', ('are', 'VBP')), (('visited', 'VBN'), 'nmod', ('Remus', 'NNP')), (('Remus', 'NNP'), 'case', ('by', 'IN'))]"
"He explains more of the situation : the Voldemort-controlled Ministry and Death Eaters are searching for Harry , claiming that he had a part in Albus ' death , and now openly persecuting Muggle-born wizards and witches .","['He', 'situation', 'Ministry', 'Eaters', 'Harry', 'he', 'death']","['He:explains', 'situation:more', 'Ministry:searching', 'Eaters:searching', 'Harry:searching', 'he:had', 'death:part']","['part', 'wizards', 'witches']","['part:had', 'wizards:persecuting', 'witches:persecuting']",-0.8834,"[(('explains', 'VBZ'), 'nsubj', ('He', 'PRP')), (('explains', 'VBZ'), 'dobj', ('more', 'JJR')), (('more', 'JJR'), 'nmod', ('situation', 'NN')), (('situation', 'NN'), 'case', ('of', 'IN')), (('situation', 'NN'), 'det', ('the', 'DT')), (('explains', 'VBZ'), 'parataxis', ('searching', 'VBG')), (('searching', 'VBG'), 'nsubj', ('Ministry', 'NNP')), (('Ministry', 'NNP'), 'det', ('the', 'DT')), (('Ministry', 'NNP'), 'amod', ('Voldemort-controlled', 'JJ')), (('Ministry', 'NNP'), 'cc', ('and', 'CC')), (('Ministry', 'NNP'), 'conj', ('Eaters', 'NNP')), (('Eaters', 'NNP'), 'compound', ('Death', 'NNP')), (('searching', 'VBG'), 'aux', ('are', 'VBP')), (('searching', 'VBG'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN')), (('Harry', 'NNP'), 'acl', ('claiming', 'VBG')), (('claiming', 'VBG'), 'ccomp', ('had', 'VBD')), (('had', 'VBD'), 'mark', ('that', 'IN')), (('had', 'VBD'), 'nsubj', ('he', 'PRP')), (('had', 'VBD'), 'dobj', ('part', 'NN')), (('part', 'NN'), 'det', ('a', 'DT')), (('part', 'NN'), 'nmod', ('death', 'NN')), (('death', 'NN'), 'case', ('in', 'IN')), (('death', 'NN'), 'nmod:poss', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', (""'"", 'POS')), (('searching', 'VBG'), 'cc', ('and', 'CC')), (('searching', 'VBG'), 'conj', ('persecuting', 'VBG')), (('persecuting', 'VBG'), 'advmod', ('now', 'RB')), (('persecuting', 'VBG'), 'advmod', ('openly', 'RB')), (('persecuting', 'VBG'), 'dobj', ('wizards', 'NNS')), (('wizards', 'NNS'), 'amod', ('Muggle-born', 'JJ')), (('wizards', 'NNS'), 'cc', ('and', 'CC')), (('wizards', 'NNS'), 'conj', ('witches', 'NNS'))]"
"He then offers to join the trio in their quest , not wanting to remain with his wife , Nymphadora , who is pregnant with their child because he fears the child will be a werewolf like him .","['He', 'quest', 'wife', 'child', 'he', 'child', 'him']","['He:offers', 'quest:trio', 'wife:remain', 'child:pregnant', 'he:fears', 'child:werewolf', 'him:werewolf']",['trio'],['trio:join'],0.2263,"[(('offers', 'VBZ'), 'nsubj', ('He', 'PRP')), (('offers', 'VBZ'), 'advmod', ('then', 'RB')), (('offers', 'VBZ'), 'xcomp', ('join', 'VB')), (('join', 'VB'), 'mark', ('to', 'TO')), (('join', 'VB'), 'dobj', ('trio', 'NN')), (('trio', 'NN'), 'det', ('the', 'DT')), (('trio', 'NN'), 'nmod', ('quest', 'NN')), (('quest', 'NN'), 'case', ('in', 'IN')), (('quest', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('join', 'VB'), 'parataxis', ('wanting', 'VBG')), (('wanting', 'VBG'), 'neg', ('not', 'RB')), (('wanting', 'VBG'), 'xcomp', ('remain', 'VB')), (('remain', 'VB'), 'mark', ('to', 'TO')), (('remain', 'VB'), 'nmod', ('wife', 'NN')), (('wife', 'NN'), 'case', ('with', 'IN')), (('wife', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('wife', 'NN'), 'appos', ('Nymphadora', 'NNP')), (('wife', 'NN'), 'acl:relcl', ('pregnant', 'JJ')), (('pregnant', 'JJ'), 'nsubj', ('who', 'WP')), (('pregnant', 'JJ'), 'cop', ('is', 'VBZ')), (('pregnant', 'JJ'), 'nmod', ('child', 'NN')), (('child', 'NN'), 'case', ('with', 'IN')), (('child', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('pregnant', 'JJ'), 'advcl', ('fears', 'VBZ')), (('fears', 'VBZ'), 'mark', ('because', 'IN')), (('fears', 'VBZ'), 'nsubj', ('he', 'PRP')), (('fears', 'VBZ'), 'ccomp', ('werewolf', 'NN')), (('werewolf', 'NN'), 'nsubj', ('child', 'NN')), (('child', 'NN'), 'det', ('the', 'DT')), (('werewolf', 'NN'), 'aux', ('will', 'MD')), (('werewolf', 'NN'), 'cop', ('be', 'VB')), (('werewolf', 'NN'), 'det', ('a', 'DT')), (('werewolf', 'NN'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('like', 'IN'))]"
"Harry calls him a coward for abandoning his son , and Remus angrily storms off .","['Harry', 'Remus']","['Harry:calls', 'Remus:storms']","['coward', 'son']","['coward:calls', 'son:abandoning']",-0.8126,"[(('calls', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('calls', 'VBZ'), 'iobj', ('him', 'PRP')), (('calls', 'VBZ'), 'dobj', ('coward', 'NN')), (('coward', 'NN'), 'det', ('a', 'DT')), (('coward', 'NN'), 'acl', ('abandoning', 'VBG')), (('abandoning', 'VBG'), 'mark', ('for', 'IN')), (('abandoning', 'VBG'), 'dobj', ('son', 'NN')), (('son', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('calls', 'VBZ'), 'cc', ('and', 'CC')), (('calls', 'VBZ'), 'conj', ('storms', 'VBZ')), (('storms', 'VBZ'), 'nsubj', ('Remus', 'NNP')), (('storms', 'VBZ'), 'advmod', ('angrily', 'RB')), (('storms', 'VBZ'), 'compound:prt', ('off', 'RP'))]"
"Later , Kreacher brings Mundungus back to  Grimmauld Place , but he has already given away the locket to Dolores as a bribe .","['Kreacher', 'Place', 'he', 'Dolores', 'bribe']","['Kreacher:brings', 'Place:brings', 'he:given', 'Dolores:away', 'bribe:given']",['Mundungus'],['Mundungus:brings'],-0.296,"[(('brings', 'VBZ'), 'advmod', ('Later', 'RB')), (('brings', 'VBZ'), 'nsubj', ('Kreacher', 'NNP')), (('brings', 'VBZ'), 'dobj', ('Mundungus', 'NNS')), (('brings', 'VBZ'), 'compound:prt', ('back', 'RP')), (('brings', 'VBZ'), 'nmod', ('Place', 'NNP')), (('Place', 'NNP'), 'case', ('to', 'TO')), (('Place', 'NNP'), 'compound', ('Grimmauld', 'NNP')), (('brings', 'VBZ'), 'cc', ('but', 'CC')), (('brings', 'VBZ'), 'conj', ('given', 'VBN')), (('given', 'VBN'), 'nsubj', ('he', 'PRP')), (('given', 'VBN'), 'aux', ('has', 'VBZ')), (('given', 'VBN'), 'advmod', ('already', 'RB')), (('given', 'VBN'), 'advmod', ('away', 'RB')), (('away', 'RB'), 'nmod:npmod', ('locket', 'NN')), (('locket', 'NN'), 'det', ('the', 'DT')), (('away', 'RB'), 'nmod', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', ('to', 'TO')), (('given', 'VBN'), 'nmod', ('bribe', 'NN')), (('bribe', 'NN'), 'case', ('as', 'IN')), (('bribe', 'NN'), 'det', ('a', 'DT'))]"
"After a month of spying on the Ministry of Magic , the trio infiltrate it in order to retrieve the Horcrux from Dolores .","['month', 'Ministry', 'Magic', 'trio', 'Dolores']","['month:infiltrate', 'Ministry:spying', 'Magic:Ministry', 'trio:infiltrate', 'Dolores:retrieve']","['it', 'Horcrux']","['it:infiltrate', 'Horcrux:retrieve']",0.0,"[(('infiltrate', 'VB'), 'nmod', ('month', 'NN')), (('month', 'NN'), 'case', ('After', 'IN')), (('month', 'NN'), 'det', ('a', 'DT')), (('month', 'NN'), 'nmod', ('spying', 'VBG')), (('spying', 'VBG'), 'case', ('of', 'IN')), (('spying', 'VBG'), 'nmod', ('Ministry', 'NNP')), (('Ministry', 'NNP'), 'case', ('on', 'IN')), (('Ministry', 'NNP'), 'det', ('the', 'DT')), (('Ministry', 'NNP'), 'nmod', ('Magic', 'NNP')), (('Magic', 'NNP'), 'case', ('of', 'IN')), (('infiltrate', 'VB'), 'nsubj', ('trio', 'NN')), (('trio', 'NN'), 'det', ('the', 'DT')), (('infiltrate', 'VB'), 'dobj', ('it', 'PRP')), (('infiltrate', 'VB'), 'advcl', ('retrieve', 'VB')), (('retrieve', 'VB'), 'mark', ('in', 'IN')), (('in', 'IN'), 'mwe', ('order', 'NN')), (('retrieve', 'VB'), 'mark', ('to', 'TO')), (('retrieve', 'VB'), 'dobj', ('Horcrux', 'NN')), (('Horcrux', 'NN'), 'det', ('the', 'DT')), (('retrieve', 'VB'), 'nmod', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', ('from', 'IN'))]"
"They ambush three employees and use Polyjuice to impersonate them with Hermione taking on the appearance of Mafalda Hopkirk , Ronald looking like Reginald , and Harry .","['They', 'Hermione', 'Ronald', 'Harry', 'appearance', 'Hopkirk', 'Reginald']","['They:ambush', 'Hermione:impersonate', 'Ronald:impersonate', 'Harry:impersonate', 'appearance:taking', 'Hopkirk:appearance', 'Reginald:looking']","['employees', 'Polyjuice', 'them']","['employees:ambush', 'Polyjuice:use', 'them:impersonate']",0.3612,"[(('ambush', 'VB'), 'nsubj', ('They', 'PRP')), (('ambush', 'VB'), 'dobj', ('employees', 'NNS')), (('employees', 'NNS'), 'nummod', ('three', 'CD')), (('ambush', 'VB'), 'cc', ('and', 'CC')), (('ambush', 'VB'), 'conj', ('use', 'VB')), (('use', 'VB'), 'dobj', ('Polyjuice', 'NNP')), (('use', 'VB'), 'xcomp', ('impersonate', 'VB')), (('impersonate', 'VB'), 'mark', ('to', 'TO')), (('impersonate', 'VB'), 'dobj', ('them', 'PRP')), (('impersonate', 'VB'), 'nmod', ('Hermione', 'NNP')), (('Hermione', 'NNP'), 'case', ('with', 'IN')), (('Hermione', 'NNP'), 'acl', ('taking', 'VBG')), (('taking', 'VBG'), 'nmod', ('appearance', 'NN')), (('appearance', 'NN'), 'case', ('on', 'IN')), (('appearance', 'NN'), 'det', ('the', 'DT')), (('appearance', 'NN'), 'nmod', ('Hopkirk', 'NNP')), (('Hopkirk', 'NNP'), 'case', ('of', 'IN')), (('Hopkirk', 'NNP'), 'compound', ('Mafalda', 'NNP')), (('Hermione', 'NNP'), 'conj', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'acl', ('looking', 'VBG')), (('looking', 'VBG'), 'nmod', ('Reginald', 'NNP')), (('Reginald', 'NNP'), 'case', ('like', 'IN')), (('Hermione', 'NNP'), 'cc', ('and', 'CC')), (('Hermione', 'NNP'), 'conj', ('Harry', 'NNP'))]"
"After being separated , Harry discovers Alastor 's magical eye has been taken by Dolores .",['Dolores'],['Dolores:taken'],['eye'],['eye:taken'],0.0,"[(('taken', 'VBN'), 'advcl', ('separated', 'JJ')), (('separated', 'JJ'), 'mark', ('After', 'IN')), (('separated', 'JJ'), 'cop', ('being', 'VBG')), (('taken', 'VBN'), 'nsubjpass', ('eye', 'NN')), (('eye', 'NN'), 'nmod:poss', ('Alastor', 'NNP')), (('Alastor', 'NNP'), 'compound', ('Harry', 'NNP')), (('Alastor', 'NNP'), 'compound', ('discovers', 'NNP')), (('Alastor', 'NNP'), 'case', (""'s"", 'POS')), (('eye', 'NN'), 'amod', ('magical', 'JJ')), (('taken', 'VBN'), 'aux', ('has', 'VBZ')), (('taken', 'VBN'), 'auxpass', ('been', 'VBN')), (('taken', 'VBN'), 'nmod', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', ('by', 'IN'))]"
"Thinking it a disgrace to Alastor 's memory to keep it stuck in Dolores ' door , Alastor steals the eye , so as to give it a proper burial and the respect it deserves .","['it', 'memory', 'it', 'door', 'Alastor', 'it']","['it:disgrace', 'memory:disgrace', 'it:stuck', 'door:stuck', 'Alastor:steals', 'it:deserves']","['eye', 'burial', 'respect']","['eye:steals', 'burial:give', 'respect:give']",-0.6597,"[(('steals', 'VBZ'), 'advcl', ('Thinking', 'VBG')), (('Thinking', 'VBG'), 'xcomp', ('disgrace', 'NN')), (('disgrace', 'NN'), 'nsubj', ('it', 'PRP')), (('disgrace', 'NN'), 'det', ('a', 'DT')), (('disgrace', 'NN'), 'nmod', ('memory', 'NN')), (('memory', 'NN'), 'case', ('to', 'TO')), (('memory', 'NN'), 'nmod:poss', ('Alastor', 'NNP')), (('Alastor', 'NNP'), 'case', (""'s"", 'POS')), (('memory', 'NN'), 'acl', ('keep', 'VB')), (('keep', 'VB'), 'mark', ('to', 'TO')), (('keep', 'VB'), 'dep', ('stuck', 'VBN')), (('stuck', 'VBN'), 'nsubj', ('it', 'PRP')), (('stuck', 'VBN'), 'nmod', ('door', 'NN')), (('door', 'NN'), 'case', ('in', 'IN')), (('door', 'NN'), 'nmod:poss', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', (""'"", 'POS')), (('steals', 'VBZ'), 'nsubj', ('Alastor', 'NNP')), (('steals', 'VBZ'), 'dobj', ('eye', 'NN')), (('eye', 'NN'), 'det', ('the', 'DT')), (('steals', 'VBZ'), 'dep', ('so', 'IN')), (('steals', 'VBZ'), 'parataxis', ('deserves', 'VBZ')), (('deserves', 'VBZ'), 'advcl', ('give', 'VB')), (('give', 'VB'), 'mark', ('as', 'IN')), (('give', 'VB'), 'mark', ('to', 'TO')), (('give', 'VB'), 'iobj', ('it', 'PRP')), (('give', 'VB'), 'dobj', ('burial', 'NN')), (('burial', 'NN'), 'det', ('a', 'DT')), (('burial', 'NN'), 'amod', ('proper', 'JJ')), (('burial', 'NN'), 'cc', ('and', 'CC')), (('burial', 'NN'), 'conj', ('respect', 'NN')), (('respect', 'NN'), 'det', ('the', 'DT')), (('deserves', 'VBZ'), 'nsubj', ('it', 'PRP'))]"
"Once Harry reunites with Hermione , Alastor witnesses the Muggle-Born Registration Commission , set up to convict Muggle-borns of `` stealing '' magic , at work .","['Harry', 'Hermione', 'work']","['Harry:reunites', 'Hermione:reunites', 'work:set']","['Muggle-borns', 'magic']","['Muggle-borns:convict', 'magic:stealing']",-0.5719,"[(('set', 'VBD'), 'advcl', ('reunites', 'VBZ')), (('reunites', 'VBZ'), 'mark', ('Once', 'IN')), (('reunites', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('reunites', 'VBZ'), 'nmod', ('Hermione', 'NNP')), (('Hermione', 'NNP'), 'case', ('with', 'IN')), (('set', 'VBD'), 'ccomp', ('Commission', 'NNP')), (('Commission', 'NNP'), 'dep', ('witnesses', 'NNS')), (('witnesses', 'NNS'), 'compound', ('Alastor', 'NNP')), (('Commission', 'NNP'), 'det', ('the', 'DT')), (('Commission', 'NNP'), 'compound', ('Muggle-Born', 'NNP')), (('Commission', 'NNP'), 'compound', ('Registration', 'NNP')), (('set', 'VBD'), 'compound:prt', ('up', 'RP')), (('set', 'VBD'), 'xcomp', ('convict', 'VB')), (('convict', 'VB'), 'mark', ('to', 'TO')), (('convict', 'VB'), 'dobj', ('Muggle-borns', 'NNP')), (('Muggle-borns', 'NNP'), 'acl', ('stealing', 'VBG')), (('stealing', 'VBG'), 'mark', ('of', 'IN')), (('stealing', 'VBG'), 'dobj', ('magic', 'NN')), (('set', 'VBD'), 'nmod', ('work', 'NN')), (('work', 'NN'), 'case', ('at', 'IN'))]"
"Enraged by what Alastor sees , Harry stuns Dolores and the Death , who is now head of the Department of Magical Law Enforcement .","['Alastor', 'Harry', 'Department', 'Enforcement']","['Alastor:sees', 'Harry:stuns', 'Department:head', 'Enforcement:Department']","['Dolores', 'Death']","['Dolores:stuns', 'Death:stuns']",-0.7579,"[(('stuns', 'VBZ'), 'advcl', ('Enraged', 'VBN')), (('Enraged', 'VBN'), 'advcl', ('sees', 'VBZ')), (('sees', 'VBZ'), 'mark', ('by', 'IN')), (('sees', 'VBZ'), 'dobj', ('what', 'WP')), (('sees', 'VBZ'), 'nsubj', ('Alastor', 'NNP')), (('stuns', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('stuns', 'VBZ'), 'dobj', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'cc', ('and', 'CC')), (('Dolores', 'NNP'), 'conj', ('Death', 'NN')), (('Death', 'NN'), 'det', ('the', 'DT')), (('Dolores', 'NNP'), 'acl:relcl', ('head', 'NN')), (('head', 'NN'), 'nsubj', ('who', 'WP')), (('head', 'NN'), 'cop', ('is', 'VBZ')), (('head', 'NN'), 'advmod', ('now', 'RB')), (('head', 'NN'), 'nmod', ('Department', 'NNP')), (('Department', 'NNP'), 'case', ('of', 'IN')), (('Department', 'NNP'), 'det', ('the', 'DT')), (('Department', 'NNP'), 'nmod', ('Enforcement', 'NNP')), (('Enforcement', 'NNP'), 'case', ('of', 'IN')), (('Enforcement', 'NNP'), 'compound', ('Magical', 'NNP')), (('Enforcement', 'NNP'), 'compound', ('Law', 'NNP'))]"
"Hermione takes the Horcrux , which Dolores had falsely used to bolster Dolores 's Pure-blood credentials , from Dolores .","['Hermione', 'Dolores', 'Dolores']","['Hermione:takes', 'Dolores:used', 'Dolores:bolster']","['Horcrux', 'credentials']","['Horcrux:takes', 'credentials:bolster']",0.0,"[(('takes', 'VBZ'), 'nsubj', ('Hermione', 'NNP')), (('takes', 'VBZ'), 'dobj', ('Horcrux', 'NNP')), (('Horcrux', 'NNP'), 'det', ('the', 'DT')), (('Horcrux', 'NNP'), 'acl:relcl', ('used', 'VBN')), (('used', 'VBN'), 'nsubj', ('Dolores', 'NNP')), (('used', 'VBN'), 'aux', ('had', 'VBD')), (('used', 'VBN'), 'advmod', ('falsely', 'RB')), (('used', 'VBN'), 'xcomp', ('bolster', 'VB')), (('bolster', 'VB'), 'dobj', ('which', 'WDT')), (('bolster', 'VB'), 'mark', ('to', 'TO')), (('bolster', 'VB'), 'dobj', ('credentials', 'NNS')), (('credentials', 'NNS'), 'nmod:poss', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', (""'s"", 'POS')), (('credentials', 'NNS'), 'amod', ('Pure-blood', 'JJ')), (('bolster', 'VB'), 'nmod', ('Dolores', 'NNP')), (('Dolores', 'NNP'), 'case', ('from', 'IN'))]"
"By the time Harry and Hermione begin freeing the Muggle-borns , the Ministry knows that there are intruders in the building , having discovered Alastor 's eye missing .","['time', 'Harry', 'Hermione', 'Ministry', 'building', 'eye']","['time:begin', 'Harry:begin', 'Hermione:begin', 'Ministry:knows', 'building:intruders', 'eye:missing']",['Muggle-borns'],['Muggle-borns:freeing'],0.2263,"[(('knows', 'VBZ'), 'ccomp', ('begin', 'VBP')), (('begin', 'VBP'), 'nmod', ('time', 'NN')), (('time', 'NN'), 'case', ('By', 'IN')), (('time', 'NN'), 'det', ('the', 'DT')), (('begin', 'VBP'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'cc', ('and', 'CC')), (('Harry', 'NNP'), 'conj', ('Hermione', 'NNP')), (('begin', 'VBP'), 'xcomp', ('freeing', 'VBG')), (('freeing', 'VBG'), 'dobj', ('Muggle-borns', 'NNS')), (('Muggle-borns', 'NNS'), 'det', ('the', 'DT')), (('knows', 'VBZ'), 'nsubj', ('Ministry', 'NNP')), (('Ministry', 'NNP'), 'det', ('the', 'DT')), (('knows', 'VBZ'), 'ccomp', ('are', 'VBP')), (('are', 'VBP'), 'mark', ('that', 'IN')), (('are', 'VBP'), 'expl', ('there', 'EX')), (('are', 'VBP'), 'xcomp', ('intruders', 'JJ')), (('intruders', 'JJ'), 'nmod', ('building', 'NN')), (('building', 'NN'), 'case', ('in', 'IN')), (('building', 'NN'), 'det', ('the', 'DT')), (('are', 'VBP'), 'xcomp', ('discovered', 'VBN')), (('discovered', 'VBN'), 'aux', ('having', 'VBG')), (('discovered', 'VBN'), 'xcomp', ('missing', 'VBG')), (('missing', 'VBG'), 'nsubj', ('eye', 'NN')), (('eye', 'NN'), 'nmod:poss', ('Alastor', 'NNP')), (('Alastor', 'NNP'), 'case', (""'s"", 'POS'))]"
"Once they reunite with Ronald , they encourage the Muggle-borns to flee the country .","['they', 'Ronald', 'they']","['they:reunite', 'Ronald:reunite', 'they:encourage']","['Muggle-borns', 'country']","['Muggle-borns:encourage', 'country:flee']",0.5106,"[(('encourage', 'VBP'), 'advcl', ('reunite', 'VB')), (('reunite', 'VB'), 'mark', ('Once', 'IN')), (('reunite', 'VB'), 'nsubj', ('they', 'PRP')), (('reunite', 'VB'), 'nmod', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'case', ('with', 'IN')), (('encourage', 'VBP'), 'nsubj', ('they', 'PRP')), (('encourage', 'VBP'), 'dobj', ('Muggle-borns', 'NNP')), (('Muggle-borns', 'NNP'), 'det', ('the', 'DT')), (('encourage', 'VBP'), 'xcomp', ('flee', 'VB')), (('flee', 'VB'), 'mark', ('to', 'TO')), (('flee', 'VB'), 'dobj', ('country', 'NN')), (('country', 'NN'), 'det', ('the', 'DT'))]"
"They make for the exit , and as they escape , their hiding place is discovered , Ronald is splinched , and they are forced to flee to the countryside , where they move from place to place , never staying anywhere for more than a night or two .","['They', 'exit', 'they', 'countryside', 'they', 'place', 'place', 'night']","['They:make', 'exit:make', 'they:escape', 'countryside:flee', 'they:move', 'place:move', 'place:move', 'night:staying']","['place', 'Ronald', 'they']","['place:discovered', 'Ronald:splinched', 'they:forced']",-0.5423,"[(('make', 'VBP'), 'nsubj', ('They', 'PRP')), (('make', 'VBP'), 'nmod', ('exit', 'NN')), (('exit', 'NN'), 'case', ('for', 'IN')), (('exit', 'NN'), 'det', ('the', 'DT')), (('make', 'VBP'), 'cc', ('and', 'CC')), (('make', 'VBP'), 'conj', ('discovered', 'VBN')), (('discovered', 'VBN'), 'advcl', ('escape', 'VB')), (('escape', 'VB'), 'mark', ('as', 'IN')), (('escape', 'VB'), 'nsubj', ('they', 'PRP')), (('discovered', 'VBN'), 'nsubjpass', ('place', 'NN')), (('place', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('place', 'NN'), 'compound', ('hiding', 'NN')), (('discovered', 'VBN'), 'auxpass', ('is', 'VBZ')), (('make', 'VBP'), 'ccomp', ('splinched', 'VBN')), (('splinched', 'VBN'), 'nsubjpass', ('Ronald', 'NNP')), (('splinched', 'VBN'), 'auxpass', ('is', 'VBZ')), (('make', 'VBP'), 'cc', ('and', 'CC')), (('make', 'VBP'), 'conj', ('forced', 'VBN')), (('forced', 'VBN'), 'nsubjpass', ('they', 'PRP')), (('forced', 'VBN'), 'auxpass', ('are', 'VBP')), (('forced', 'VBN'), 'xcomp', ('flee', 'VB')), (('flee', 'VB'), 'mark', ('to', 'TO')), (('flee', 'VB'), 'nmod', ('countryside', 'NN')), (('countryside', 'NN'), 'case', ('to', 'TO')), (('countryside', 'NN'), 'det', ('the', 'DT')), (('countryside', 'NN'), 'acl:relcl', ('move', 'VBP')), (('move', 'VBP'), 'advmod', ('where', 'WRB')), (('move', 'VBP'), 'nsubj', ('they', 'PRP')), (('move', 'VBP'), 'nmod', ('place', 'NN')), (('place', 'NN'), 'case', ('from', 'IN')), (('move', 'VBP'), 'nmod', ('place', 'NN')), (('place', 'NN'), 'case', ('to', 'TO')), (('move', 'VBP'), 'ccomp', ('staying', 'VBG')), (('staying', 'VBG'), 'neg', ('never', 'RB')), (('staying', 'VBG'), 'advmod', ('anywhere', 'RB')), (('staying', 'VBG'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('for', 'IN')), (('night', 'NN'), 'nummod', ('a', 'DT')), (('a', 'DT'), 'advmod', ('more', 'JJR')), (('more', 'JJR'), 'mwe', ('than', 'IN')), (('night', 'NN'), 'cc', ('or', 'CC')), (('night', 'NN'), 'conj', ('two', 'CD'))]"
