"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" When they get there , Harry ca n't sleep with the raging storm outside , so he counts down the time until his birthday .",0.05,1," 95",0.3,0.2,0.1,0.1,0.1,0.1,0.1,0,0.66312,-0.95,0.10563
" When his watch turns to the next day , there is a loud knocking at the door - something wants to get in ... There is another loud boom on the door and Dudley wakes up , thinking it is a cannon . Vernon comes through with a rifle , with Petunia cowering behind him .",-0.9,3," 96 97 98",0.333333333333333,0.166666666666667,0,0.5,0,0,0,0,0.72667,-0.99111,0.66833
" The door is blasted off its hinges and hits the floor . A giant enters and fixes the door into its frame . The giant asks for a cup of coffee then sits on the couch next to Dudley , scaring him away to hide behind Petunia . The giant turns his eyes to Harry and greets him , saying he has n't seen him since he was a baby . He says Harry looks like his father but has his mother 's eyes . Vernon tells him to leave but the giant merely grabs the gun , ties into a knot and throws it away . The giant presents Harry with a birthday cake . Harry asks the giant who he is and he says he is Rubeus , the Keeper of Keys and Grounds at Hogwarts of Witchcraft and Wizardry .",0.1625,8," 99 100 101 102 103 104 105 106",0.1875,0.0625,0,0.28125,0.09375,0.25,0.0625,0.0625,0.74109,-0.784,0.87864
" Rubeus makes a fire and cooks some sausages , but is shocked that Harry knows nothing about Hogwarts .",-0.75,1," 107",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.82143,-0.50429,0.76857
" He gets angry at Marjorie-Petunia-Vernon-Dudley for not telling him anything about his parents ' world , his world .",-0.75,1," 108",0.5,0,0.5,0,0,0,0,0,0.59,-0.505,-0.01
" Harry has no idea what 's going on .",0,1," 109",0.5,0,0,0,0,0.5,0,0,1.3525,-0.8825,0.665
" Rubeus tells Harry his parents are famous and that he 's a wizard , despite Vernon forbidding him to . Rubeus gives Harry the letter that he has been craving for . It tells him that he has been accepted into Hogwarts of Witchcraft and Wizardry , and that term begins on st September . Rubeus takes out parchment and a quill and writes a letter to Hogwarts , explaining he has given Harry the letter . Vernon tells Rubeus that Harry wo n't be going , but the giant knows that a great Muggle like him would n't be able to stop Harry from going to Hogwarts . Vernon reveals he knew that Harry 's a wizard , and Petunia tells Harry that her sister , Harry 's mother , was a witch . Petunia said they were killed by another wizard and Harry screams that Petunia said they got killed in a car crash .",0.0142857142857143,7," 110 111 112 113 114 115 116",0.243243243243243,0.189189189189189,0.027027027027027,0.135135135135135,0.027027027027027,0.243243243243243,0.108108108108108,0.027027027027027,0.75692,-0.96233,0.48383
" Rubeus is as outraged as Harry is that Marjorie-Petunia-Vernon-Dudley have lied that much . He sits down and tells Harry that a Dark Wizard named Tom killed Harry 's parents and tried to kill Harry too .",-1.35,2," 117 118",0.222222222222222,0.111111111111111,0,0.111111111111111,0,0.444444444444444,0.111111111111111,0,-0.12429,-0.74429,0.02571
" But the spell he used backfired , only leaving Harry his scar .",-0.5,1," 119",0.333333333333333,0,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0,-0.45,-0.168,-0.07
" Rubeus tells him that he brought Harry from the ruins of the house and brought him to Marjorie-Petunia-Vernon-Dudley 's house on  Privet . Vernon says it 's a load of rubbish and tries to persuade Harry that whatever happened to his parents was deserved anyway , but Rubeus pulls an umbrella out of his coat and threatens Vernon .",-0.75,2," 120 121",0.333333333333333,0,0.166666666666667,0,0,0.333333333333333,0,0.166666666666667,0.4525,-0.8925,0.7095
" Harry asks what happened to Tom and Rubeus tells him he vanished and has n't been seen since . Harry doubts that he is a wizard until Rubeus asks him if he ever made anything happen he could n't explain when he was angry or scared .",-0.975,2," 122 123",0.230769230769231,0.153846153846154,0.0769230769230769,0.0769230769230769,0,0.230769230769231,0.153846153846154,0.0769230769230769,0.24588,-0.96029,0.27265
" Vernon makes the mistake of mocking Albus and Rubeus swishes the umbrella , in Dudley 's direction , and Dudley sprouts a curly pig 's tail .",-2,1," 124",0.2,0,0.4,0,0,0.4,0,0,0.07778,-1.12556,0.49889
" Rubeus asks Harry not to mention it at Hogwarts because Rubeus is n't allowed to do magic , as he had been expelled .",-0.35,1," 125",0.5,0,0,0,0,0.5,0,0,0.80889,-1.28667,0.58889
" Rubeus takes off his coat and Harry sleeps under that for the night , for the day ahead .",0.8,1," 126",0.5,0,0,0,0,0.5,0,0,1.074,-1.318,0.524
" When Harry wakes the next morning , he tries to tell himself that what happened the previous night had all been a dream and that Rubeus taking him to a school for Wizards called Hogwarts of Witchcraft and Wizardry has never happened .",0,1," 127",0.333333333333333,0,0,0.166666666666667,0,0.333333333333333,0,0.166666666666667,0.79529,-1.10706,0.46176
" But when he opens his eyes , Rubeus had fallen asleep on the couch and he finds that it has all happened .",-0.5,1," 128",0,0,0,0,0,1,0,0,0.88889,-1.47667,0.535
" He hears a tapping noise coming from the window and lets in an Owl .",0,1," 129",0,1,0,0,0,0,0,0,0.63714,-1.28071,0.70571
" The owl drops a newspaper on Rubeus 's lap and begins to claw Rubeus 's coat . Rubeus tells Harry to pay the owl so Harry does what he says and the owl leaves .",-0.35,2," 130 131",0.285714285714286,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.57036,-1.29607,0.45429
" Rubeus tells him they have to go and buy his things , but Harry worries because he has n't got any money . Rubeus tells him his parents did n't leave him without money and that their first stop is Gringotts , the wizard 's bank .",0.225,2," 132 133",0.176470588235294,0.176470588235294,0,0,0.117647058823529,0.117647058823529,0.235294117647059,0.176470588235294,0.86658,-0.59921,0.47211
" He explains that it is run by Goblins and that `` you 'd be mad to try and rob it '' . Rubeus says Albus also needs something from Gringotts , so Rubeus has to go get it .",-0.375,2," 134 135",0.25,0,0.25,0.25,0,0.25,0,0,0.225,-0.71214,0.40821
" They step outside the hut and step into their boat .",0,1," 136",0,0,0,0,0,1,0,0,0.55625,-1.56625,0.89375
" Rubeus uses a bit of magic to speed things up for them .",0.25,1," 137",NA,NA,NA,NA,NA,NA,NA,NA,0.932,-0.134,0.57
" Rubeus says there are Charm guarding the vaults in Gringotts .",0.75,1," 138",NA,NA,NA,NA,NA,NA,NA,NA,1.232,-1.234,0.624
" Gringotts is all under London , and you would die of starvation trying to get out .",-1.5,1," 139",0,0,0,0.5,0,0.5,0,0,-0.465,-0.45667,0.02
" Hagrid begins to read the Daily Prophet and mutters that the Ministry of Magic is messing things up as usual .",1.25,1," 140",0,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0.59682,-1.16318,0.24273
" Harry wonders what the Ministry of Magic does , and Rubeus explains that they handle everything to do with magic .",0.25,1," 141",0.25,0,0,0,0.25,0.25,0,0.25,1.0075,-0.60625,0.815
" He says they wanted Albus for Minister , but Cornelius got the job .",0,1," 142",NA,NA,NA,NA,NA,NA,NA,NA,0.728,-0.752,0.602
" As they pass through London , people stared at Rubeus a lot , due to his size and that he is pointing out things that Muggles are brilliant for inventing .",1,1," 143",0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.81182,-0.76273,0.65818
" Harry asks if there are Dragons guarding Gringotts .",0,1," 144",0.5,0,0,0,0,0.5,0,0,1.00667,-1.49667,0.28333
" Rubeus says yes and mutters that he would like a dragon .",1.3,1," 145",0,0,0,1,0,0,0,0,1.068,-0.648,0.968
" Harry takes out his list and reads it out .",0,1," 146",0.5,0,0,0,0,0.5,0,0,0.81333,-1.41,0.51667
" It says he needs a set of robes , a pointed hat , Dragon hide gloves , and a winter coat .",0,1," 147",0,0,0,1,0,0,0,0,0.5835,-1.461,0.6645
" There is a list of his books and stationary equipment .",0,1," 148",NA,NA,NA,NA,NA,NA,NA,NA,1.038,-2.026,0.724
" Hagrid leads them both into a pub called the The that Harry did not notice was there .",0.4,1," 149",0.5,0,0,0,0,0.5,0,0,0.7,-1.35583,0.49583
" It is dark and shabby and everyone greets Rubeus as he enters .",-0.3,1," 150",0,0,0.5,0,0,0.5,0,0,0.506,-0.946,0.405
" When people see Harry , many get up and shake his hand , including Doris and Dedalus . A man with a turban approaches them and Rubeus introduces Harry to Quirinus , the Defence Against the Dark Arts professor at Hogwarts . They talk for a bit then Rubeus steers them out a back door into a small enclosed area with a few barrels .",0.266666666666667,3," 151 152 153",0.333333333333333,0,0,0,0,0.5,0,0.166666666666667,0.56524,-1.20143,0.63333
" Rubeus takes out his umbrella and taps bricks with it , counting an order .",0,1," 154",NA,NA,NA,NA,NA,NA,NA,NA,0.34667,-1.73583,0.44333
" Once he is done , a hole appears in the brick wall , slowly getting bigger , until the wall disappears fully , revealing a crowded street with people wearing robes everywhere with shops left and right . Rubeus tells Harry the street is called Diagon . When they are walking down the street , Harry is trying to look everywhere around him , taking in as much as possible .",-0.0833333333333333,3," 155 156 157",0.4,0,0,0,0,0.4,0,0.2,0.6531,-1.37103,0.47828
" At the end of Diagon , there is a snowy white building , huge in size : Gringotts . As they enter , a warning echoes through telling them rob at your own risk .",-0.375,2," 158 159",0.1,0.2,0.1,0.3,0.1,0.1,0,0.1,0.33833,-0.89333,0.05667
" Harry and Rubeus go up to a Goblin and explain they need to take some money out of Harry 's vault . The Goblin asks for Harry 's key and Rubeus presents it , after sorting through many other keys .",-0.5,2," 160 161",0.214285714285714,0.0714285714285714,0.142857142857143,0.142857142857143,0.0714285714285714,0.142857142857143,0.0714285714285714,0.142857142857143,0.53154,-0.71154,0.62538
" The Goblin calls upon another Goblin named Griphook to take them down to the vault .",-0.8,1," 162",0,0.25,0.25,0.25,0,0,0,0.25,-0.20333,-1.14833,-0.24833
" Rubeus also states they need to be taken down to remove the You-Know-What in Vault  .",-0.25,1," 163",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.37167,-1.52,0.14167
" Griphook takes them to Vault in question , and Rubeus removes the grubby little package there but ca n't tell Harry what it is . Griphook then takes them to Harry 's vault , where there is a large amount of money piled up there that Harry owns .",0.3,2," 164 165",0.333333333333333,0.111111111111111,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.42324,-1.00706,0.21529
" There are Bronze Knuts , Silver Sickles , and Gold Galleons .",0.5,1," 166",NA,NA,NA,NA,NA,NA,NA,NA,1.6875,-0.65,0.9375
" Harry and Rubeus take a bit of the money for Harry 's list , then leave Gringotts . Rubeus has to stand for a bit as the cart rides that takes them to the vaults make him sick .",-0.2,2," 167 168",0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.181818181818182,0.0909090909090909,0.31429,-0.94643,0.36786
" Rubeus decides they get Harry 's uniform first so they enter Mary 's Robes for all Occasions .",0,1," 169",0.5,0,0,0,0,0.5,0,0,1.02,-1.08429,0.85571
" Mary measures him then he sits on a chair next to a pale-faced boy getting his robes .",0.25,1," 170",0,0,1,0,0,0,0,0,0.71833,-1.45167,0.6
" The boy starts to talk about smuggling a Broomstick into Hogwarts somehow , then about something called Quidditch .",-0.15,1," 171",0,0,1,0,0,0,0,0,1.014,-1.218,0.71
" Harry feels very out of place with him , as he is talking about houses called Slytherin and Hufflepuff .",0,1," 172",0.5,0,0,0,0,0.5,0,0,1.38667,-1.39667,0.99833
" The boy points out Rubeus then says the other kind should n't be allowed in .",0.75,1," 173",0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,1.13714,-1.36429,1.26857
" When Harry leaves , he tells Rubeus and Rubeus says there are four houses at Hogwarts , Quidditch is a game played on Broomsticks and then leave to buy Harry the rest of his things .",-0.25,1," 174",0.25,0,0,0,0,0.5,0.25,0,1.06571,-1.16857,0.81571
" All Harry has left is his wand , so he and Rubeus enter Ollivanders , a Wand shop . Mr comes round , scaring them both , and greeting Harry and Rubeus . Ollivander begins to talk about Harry 's parents ' wands , and how he remembers selling them .",0.3,3," 175 176 177",0.428571428571429,0,0,0,0,0.428571428571429,0.142857142857143,0,0.74853,-1.00971,0.69206
" Ollivander touches Harry 's scar and apologises for the fact that he sold the wand that caused it . Ollivander gives Harry a wand and tells him to give it a wave . Harry did so , but it is n't suitable for him , so Ollivander takes it back .",0,3," 178 179 180",0.363636363636364,0,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0,0.0909090909090909,0.73812,-0.94937,0.51938
" Harry tries many wands , but none of them seem to work well enough for him .",0.8,1," 181",0.5,0,0,0,0,0.5,0,0,0.39,-1.1075,0.5225
" Eventually , he picks up a wand and he feels warmth in his fingers .",0.5,1," 182",NA,NA,NA,NA,NA,NA,NA,NA,1.186,-0.97,0.716
" Ollivander states that it is very curious that Harry should be destined for that wand when its brother gave Harry his scar . Rubeus takes Harry to get something to eat in the Muggle world but Harry is worried that he is n't going to fit in at Hogwarts as everyone expects great things from him .",0.525,2," 183 184",0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0,0.0909090909090909,0.93925,-0.65225,0.509
" For Harry 's birthday , Rubeus buys Harry an snowy owl named Hedwig . Rubeus provides Harry with a train ticket , giving him the date , time , and location to catch the Hogwarts and tells Harry that if he ever needs anything , he is to write a letter , and Hedwig will know where to find him .",0.525,2," 185 186",0.2,0.3,0,0,0.1,0.2,0.2,0,1.16357,-1.16262,0.60024
" Harry then catches a train back to Marjorie-Petunia-Vernon-Dudley .",0,1," 187",0.5,0,0,0,0,0.5,0,0,0.58667,-1.45333,0.47
