"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Marjorie-Petunia-Vernon-Dudley are shocked after Mr destroys half the sitting room .",-1,1," 29",NA,NA,NA,NA,NA,NA,NA,NA,-0.166,-0.796,0.416
" Mr sends the boys back , but not before Fred purposely drops a Ton-Tongue Toffee on the floor .",0,1," 30",NA,NA,NA,NA,NA,NA,NA,NA,0.39,-1.145,0.7
" Dudley , unable to resist due to the diet Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley has been following and his fondness for sweets of all sorts , attempts to eat it and experiences the magical effects of a bigger tongue .",1.5,1," 31",0,0.25,0,0,0.375,0.125,0.25,0,0.88433,-0.97267,0.66433
" Harry exits for the Burrow as Vernon starts throwing china figurines at Mr .",0,1," 32",0.5,0,0,0,0,0.5,0,0,0.71,-0.9925,0.965
" Upon arriving at the Burrow , Harry meets Ronald 's older brothers William and Charles .",0,1," 33",0.333333333333333,0,0,0,0,0.666666666666667,0,0,1.0525,-0.8225,0.8575
" Before they have a chance to talk , Mr arrives back home and angrily explains that Dudley 's tongue grew to be four feet long and turned purple before Dudley was allowed to fix it . Dudley points out that this incident could undermine the muggle-wizard relations Dudley has been working so hard to improve even after the twins tell Dudley they did it because Dudley bullies Harry .",-0.425,2," 34 35",0.1,0.3,0,0,0.1,0.1,0.3,0.1,0.53677,-1.12806,0.62419
" Mrs learns what happened and joins in the scolding of the twins .",-0.75,1," 36",1,0,0,0,0,0,0,0,0.9975,-0.98,0.39
" Meanwhile , Harry leaves the room and learns that Molly is upset about Weasley ' Wizard Wheezes , a business enterprise Ronald 's brothers Fred and George set up to sell their self-invented sweets and prank objects .",-0.1,1," 37",0.222222222222222,0.222222222222222,0,0,0.111111111111111,0.222222222222222,0.222222222222222,0,0.61286,-0.88286,0.52143
" Mrs forced them to stop , since she wanted them to have a more reputable career in the Ministry after graduation .",0.1,1," 38",0,0.2,0,0.2,0.2,0,0.1,0.3,0.69938,-0.59625,0.35125
" After the spat , the Weasley , Harry , and Hermione enjoy a lovely dinner in the garden .",2.2,1," 39",0.166666666666667,0.166666666666667,0,0,0.25,0.166666666666667,0.0833333333333333,0.166666666666667,2.2175,-0.8725,1.46
" At the table a lot of topics are discussed : the upcoming  , William 's personal appearance , Sirius 's whereabouts -LRB- a private conversation by Harry , Ronald , and Hermione -RRB- , a missing Ministry Witch named Bertha .",-0.5,1," 40",0.2,0,0.1,0.2,0.1,0.2,0,0.2,0.505,-1.33857,0.385
" Percy -LRB- who has joined the Ministry following his recent graduation -RRB- mentions a top-secret event that he is up to in the Ministry , which will take place after the  .",1.1,1," 41",0,0.2,0,0.1,0.2,0,0.1,0.4,0.56462,-1.10385,0.28615
" Harry , Hermione and the Weasley -LRB- excluding William , Charles , and Percy , who would apparate later , and Mrs , who would not be attending -RRB- travelled early the next morning to the site of the Quidditch via a Portkey , an enchanted object that can transport large groups of people across large distances in a short time .",0.2,1," 42",0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0.61944,-1.04917,0.53528
" Mr explains that two hundred Portkeys have been placed around Great to transport thousand of wizards and that they will be using the one at Stoatshead .",0.5,1," 43",NA,NA,NA,NA,NA,NA,NA,NA,1.08857,-1.41571,0.74857
" There they meet Cedric , captain of the Hufflepuff team , and his father , Amos .",0,1," 44",0,0,0,0,0,0,0,1,1.1475,-1.3425,0.6525
" Fred and George are not too keen to see Cedric due to his team beating Gryffindor last year , and Mr makes a big deal of it despite Cedric himself stating it was a fluke .",0.5,1," 45",0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0.77857,-1.14,0.54857
" They then gather around and use Portkey on Mr 's signal , transporting to the Quidditch .",0,1," 46",NA,NA,NA,NA,NA,NA,NA,NA,0.5175,-1.075,1
" After arriving and setting up their tents at a wizard campsite , Harry , Ronald , and Hermione witness international members of the wizarding community while getting water .",1,1," 47",0.2,0.2,0,0,0,0.2,0.2,0.2,1.11364,-1.17364,0.85455
" As the older Weasley children arrive and the group makes lunch , they meet Ludovic , the match commentator and head of the Department of Magical Games and Sports and the man who got them Hogwarts .",1,1," 48",0,0.4,0,0,0.2,0.2,0.2,0,1.09269,-0.93885,0.69154
" During their talk , against their father 's wishes , Fred and George make a bet with Ludo : their entire life savings and a fake wand that Ireland will win , but the Bulgarian Seeker Viktor Krum will catch the Golden .",2.05,1," 49",0,0,0,0,0,0,0.5,0.5,1.07063,-1.00438,0.98063
" Arthur also asks Ludovic if they found Bertha yet . Percy 's boss , Bartemius , head of the Department of International Magical Cooperation then arrives looking for Ludovic , though Percy has to shush Ludovic when Percy starts to talk about a big event coming up at Hogwarts .",1.05,2," 50 51",0,0.285714285714286,0,0,0.285714285714286,0,0.142857142857143,0.285714285714286,1.10062,-0.9375,0.7475
" Later that night , after getting some souvenirs , the group heads to the match .",0,1," 52",NA,NA,NA,NA,NA,NA,NA,NA,1.13583,-1.09333,0.58833
" While at the Top Box in the World Cup stadium , Harry meets Winky the house-elf , a friend of Dobby 's , who is saving a seat for Mr -LRB- who never shows up -RRB- .",1.6,1," 53",0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0.222222222222222,1.06955,-1.13591,0.61227
" The Minister for Magic , Cornelius , as well as Lucius with his wife and Draco -LRB- though both Fred-Angelina-Percy-Ronald-Fleur-George-Molly-Charles-Arthur-William and Malfoys have to restrain themselves out of respect for Fudge -RRB- , are also in the box .",1.05,1," 54",0.2,0.2,0,0.2,0.2,0,0,0.2,1.06944,-0.765,0.59611
" After Ludovic introduces both teams ' mascots , the match is intense and exciting , with amazing skill displayed on both sides , particularly from Krum .",1.8,1," 55",0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0,0.222222222222222,0.111111111111111,1.26682,-0.45591,1.34227
" A fight breaks out between the two team 's mascots after Ireland is awarded many penalty shots , which angers the Veela .",-2.15,1," 56",0.333333333333333,0,0,0.333333333333333,0,0.166666666666667,0,0.166666666666667,-0.2665,-0.2485,0.067
" Ireland quickly gains a massive lead and wins the match , despite Krum catching the Golden .",1.85,1," 57",NA,NA,NA,NA,NA,NA,NA,NA,1.06786,-0.60857,1.02571
" After Gryffindor-Slytherin-Ravenclaw-Irish-Bulgarian head to the Top Box and Cornelius awards Ireland the  , while Fred and George rejoice about winning their bet with Bagman .",2,1," 58",0,0.25,0.0833333333333333,0,0.166666666666667,0.0833333333333333,0.166666666666667,0.25,1.10125,-0.50875,1.035
" After the wizards around the campsite celebrate before going to sleep , that night , a group of masked wizards attack the camp and torment some local Muggles .",-1,1," 59",0.4,0,0,0.4,0,0.2,0,0,0.86038,-0.41731,0.15269
" While Mr heads out with his older children to face them , the rest of the group hides in the woods .",0,1," 60",0,0,0,0,0,1,0,0,1.13143,-1.12071,0.58714
" When Ronald trips on a tree branch , he , Harry , and Hermione , lose Fred , George , and Ginevra . They run into Draco , who goads them about the riot and tells them to keep Hermione , the `` mudblood '' , safe .",0,2," 61 62",0.235294117647059,0.0588235294117647,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.74556,-0.78444,0.28167
" Shortly afterwards , Harry realises his wand is missing , and they find Winky behaving strangely , as if she were to trying to restrain something .",-1.5,1," 63",0.285714285714286,0.142857142857143,0,0.285714285714286,0,0.285714285714286,0,0,0.52438,-1.16437,0.71562
" After finding a place to hide , they hear someone nearby incant `` Morsmordre '' , and they watch the Dark Mark float into the sky .",-0.6,1," 64",0,0.25,0,0.5,0,0.25,0,0,1.02,-1.565,0.87625
" The Ministry is quickly at the scene , stunning anything that moves .",0.75,1," 65",0,0,0,0,0.5,0,0,0.5,0.678,-1.006,0.244
" After determining that Harry , Ronald , and Hermione had nothing to do with the Dark Mark , they search nearby to find Winky holding Harry 's wand . A quick spell proves that Harry 's wand conjured the Dark Mark . Even though no one thinks Winky did it , Bartemius publicly fires her , leaving Hermione incensed .",-0.433333333333333,3," 66 67 68",0.333333333333333,0,0,0,0,0.666666666666667,0,0,0.6075,-0.9135,0.6435
" Mr is forced to take the group back to their tents where the others are .",-0.5,1," 69",0,0,0,1,0,0,0,0,0.47437,-1.34187,0.35313
" After the attack , Mr mentions that the Dark Mark is the sign that Tom 's supporters leave whenever they murder someone .",-1.55,1," 70",0.2,0,0.1,0.2,0,0.3,0.2,0,-0.48375,-0.5575,-0.0775
" The group also learns that the hooded wizards were Death , followers of Tom .",-0.75,1," 71",0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0.27333,-0.85917,0.0325
" William mentions that the ones from tonight strangely fled the scene when the Dark Mark was cast in the sky , likely because they were afraid Tom would punish them for failing to stay loyal to him after his downfall .",-3.9,1," 72",0.0714285714285714,0.0714285714285714,0,0.428571428571429,0.0714285714285714,0.214285714285714,0.0714285714285714,0.0714285714285714,0.18706,-1.15,0.11412
" Mr then insists they go back to bed , since they would be leaving by Portkey in a few hours .",0,1," 73",NA,NA,NA,NA,NA,NA,NA,NA,0.56,-1.2375,0.84875
" Harry ca n't sleep due to taking this as a sign that Tom 's making another plan to get his powers back .",0,1," 74",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.6665,-1.204,0.43
" The next morning , the group quickly departs the campsite and arrives at the Burrow , where a worried Mrs greets them .",0.05,1," 75",0,0,0,0,0,1,0,0,0.44375,-0.69688,0.5025
" Mrs shows them the Daily Prophet article covering last night 's attack , which is filled with some inaccurate details penned by Rita , a journalist well known for her heavily negative stories .",-0.85,1," 76",0.166666666666667,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.41794,-1.13,0.42971
" This forces Mr to head to the Ministry with Percy to straighten things out , as he is indirectly mentioned in the article .",0.6,1," 77",0,0,0,0,0.5,0,0,0.5,0.60937,-1.35625,0.33875
" Heading into Ronald 's room , Harry tells Ronald and Hermione about his scar hurting and his letter to Sirius , as well as the dream .",-0.45,1," 78",0.3,0.1,0.1,0.2,0,0.3,0,0,0.10429,-0.65786,-0.02071
" The three remark on how strange it is that Harry 's scar hurt so soon before the Dark Mark appeared for the first time in thirteen years .",-2.35,1," 79",0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.363636363636364,0,0,0.15125,-1.01667,0.185
" On the final day before they are to return to Hogwarts , Harry hears that the Ministry of Magic has come under heavy fire for failing to stop the riot at the  or arrest any of the culprits because of Rita 's article . Mr mentions that Rita is also attacking the Ministry because of the disappearance of Bertha .",-1.325,2," 80 81",0.222222222222222,0.0555555555555556,0.0555555555555556,0.222222222222222,0.111111111111111,0.166666666666667,0.0555555555555556,0.111111111111111,-0.17727,-0.51318,-0.20864
" Meanwhile , Ronald is dismayed by his hideous hand-me-down dress robes , which he will need to wear at Hogwarts for a formal occasion later in the year .",-1.5,1," 82",0,0,0.25,0.25,0,0.25,0,0.25,0.37,-1.22182,0.45818
" The next morning , Harry overhears a conversation between Mr and Amos -LRB- who is communicating through the Floo -RRB- about an ex-Auror named Alastor `` Mad-Eye '' Moody , who was attacked in his home the previous night .",-1.75,1," 83",0.375,0,0.125,0.125,0,0.375,0,0,0.49083,-1.0375,0.46167
" Amos needs Mr 's help in clearing things up before the situation gets worse .",-0.75,1," 84",0,0,0,0.5,0,0.5,0,0,0.91833,-1.36333,0.585
" Charles informs Harry that an Auror is basically an evil wizard catcher .",0.05,1," 85",0.25,0.125,0.125,0.125,0,0.25,0.125,0,0.122,-1.044,-0.004
" After Mr leaves , Percy , who needs to get back to work , departs .",0.25,1," 86",NA,NA,NA,NA,NA,NA,NA,NA,0.01333,-1.22667,0.31333
" This leaves the rest of the adults to take the children to King 's Cross Station by muggle taxi .",0.1,1," 87",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.77778,-1.09444,0.19833
" At the station , the kids say good-bye to Mrs , William , and Charles , and the adults suggest that the year ahead would be an exciting one for all of the Hogwarts students , as well as other wizards and witches . In the Hogwarts , after chatting about other wizarding schools across Europe and the  , Draco also speaks about the mysterious upcoming event , that Mrs , Charles and William were talking about earlier and says that there 's glory and money involved . After arriving at the castle and dealing with one of Peeves ' pranks , the trio heads to the Gryffindor for the Sorting ceremony , the first in three years for Harry .",1.43333333333333,3," 88 89 90",0.0833333333333333,0.25,0,0.0416666666666667,0.208333333333333,0.0416666666666667,0.208333333333333,0.166666666666667,0.99987,-0.75079,0.80579
" Here they meet Colin , who reveals his younger brother Dennis is one of the new students . During the ceremony , Dennis is placed in Gryffindor .",1.025,2," 91 92",0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,1.291,-1.14,0.862
" The Start-of-Term Feast then begins .",0,1," 93",0,1,0,0,0,0,0,0,1.9925,-0.9075,0.965
" After Nearly Headless Nick brings up the subject of Peeves causing problems in the kitchen , Hermione learns that house-elves work there . This makes her even more angry about the way house-elves are treated , especially since house-elves do not get any benefits -LRB- which the house-elves themselves do not want -RRB- .",0,2," 94 95",0.5,0,0.5,0,0,0,0,0,0.43947,-0.82842,0.59895
" She then refuses to eat any more food in protest .",-0.3,1," 96",0,0,0,0,0.5,0,0,0.5,0.615,-0.6075,0.6925
" After making a few start-of-term notices , Albus announces that instead of having Quidditch this year -LRB- which created lots of mayhem , especially from the Weasley twins -RRB- , a very special event is going to take place at Hogwarts .",0.8,1," 97",0,0.5,0,0,0.5,0,0,0,0.95071,-0.81286,0.51714
" Before he goes on , a mysterious man with a bizarre appearance appears in the Great .",-0.65,1," 98",0,0.25,0,0.25,0,0,0.5,0,0.85,-0.475,0.43929
" Albus identifies him as Mad-Eye Moody , the new Defence Against the Dark Arts teacher .",-0.3,1," 99",0.25,0,0.125,0.125,0,0.375,0,0.125,1.115,-0.705,0.36667
" Afterwards , Albus states this event is the Triwizard , which will start at the end of October on Hallowe'en . The Tournament calls for a single champion from each of the three largest wizarding schools in Europe to compete in a series of three trials for the prize of one thousand Galleons .",0.85,2," 100 101",0,0.428571428571429,0,0,0.142857142857143,0,0,0.428571428571429,0.74895,-1.04632,0.49947
" Though it was n't in play in the past due to the vast number of student deaths , Albus reveals that both Crouch -LRB- Department of International Co-operation -RRB- and Ludovic 's -LRB- Department of Games and Sports -RRB- departments at the British of Magic have decided to reinstate the tournament under the condition that new safety rules are used , including that no student under the age of seventeen will submit their name for consideration . The students are then sent to bed , though Fred and George plot to find a way to bypass Albus 's safety measures so they can enter the tournament , to get fame and glory , as well as money .",3.175,2," 102 103",0.0833333333333333,0.25,0,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.25,0.7563,-1.0861,0.5871
" On the morning of their first day back , Harry , Ronald , and Hermione prepare to begin the classes in their school schedule , though Harry is concerned about why Hedwig had not returned with a reply from Sirius .",-0.5,1," 104",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0,0.166666666666667,0.83107,-1.22393,0.99
" Hermione has also ended her hunger strike , deciding to stand up for house-elf rights in a different manner .",-1.35,1," 105",0.5,0,0.25,0.25,0,0,0,0,-0.01,-1.0525,0.09625
" First the Gryffindor Fourth-Years has lessons for Herbology , then Care of Magical Creatures , where Rubeus teaches about monstrous creatures known as Blast-Ended Skrewts .",1.25,1," 106",0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.333333333333333,0,1.406,-0.708,0.581
" Lastly , Harry and Ronald have Divination , where Sybill assigns the class extra homework after Ronald makes a rude comment to Lavender . At dinner , Draco insults Ronald by showing Ronald a Daily Prophet article that casts Ronald 's father Arthur -LRB- identified in the article as Arnold Weasley -RRB- in a bad light by Rita , who somehow found out about the attack on Alastor 's home , even after the Ministry of Magic tried to keep it secret . While Harry and Hermione restrain an angry Ronald , Draco makes some rude comments about Mrs . After Harry counters this by making a rude comment about Draco 's mother and starts walking away , an angry Draco attempts to curse Harry from behind . Moody quickly intervenes , transfiguring Draco into a white ferret and bouncing him around until Minerva appears .",-0.83,5," 107 108 109 110 111",0.238095238095238,0.119047619047619,0.0952380952380952,0.119047619047619,0.0952380952380952,0.166666666666667,0,0.166666666666667,0.20098,-0.83578,0.30863
" After seeing what he 's doing and putting two and two together , Minerva undoes the spell .",0,1," 112",NA,NA,NA,NA,NA,NA,NA,NA,0.885,-1.35125,0.86375
" She then proceeds to tell Moody off by stating they never punish the students by hexing them .",-1.5,1," 113",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,-0.40714,-0.65,0.17857
" Moody defends his actions by explaining he thought a good sharp shock would be sufficient .",0.25,1," 114",0.2,0.2,0,0.1,0.1,0.1,0.2,0.1,0.75636,-0.49909,0.85
" Minerva tells him they punish the students by giving them detentions or speaking with the offender 's Head of House .",-1.25,1," 115",0.2,0,0.2,0.4,0,0.2,0,0,0.30667,-0.53222,0.24222
" With that , Moody takes Draco to see Professor Snape .",-0.35,1," 116",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.13,-0.6825,-0.1175
" After Hermione leaves to do some extracurricular work -LRB- even with no homework given out to her -RRB- , Fred , George , and their friend Lee show up and tell Harry and Ronald how cool Moody 's -LRB- Defence Against the Dark Arts -RRB- class is .",0.45,1," 117",0.222222222222222,0,0,0.111111111111111,0.111111111111111,0.333333333333333,0,0.222222222222222,0.6225,-0.81688,0.56625
" Ronald finds out it will be a few days before Ronald and Harry will have their first lesson with Moody .",-0.35,1," 118",0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0,0.166666666666667,0.78889,-1.26778,0.96667
" In their first lesson with Moody on Thursday , Moody , after revealing he will only be staying for the year , decides to show Godric-Gryffindor-Sword the Unforgivable .",-0.35,1," 119",0.2,0.2,0,0,0,0.2,0,0.4,0.34083,-0.90917,0.62417
" Despite some fear amongst the students -LRB- especially Neville , who needs comfort from both the trio and Moody after the lesson ; Moody later lends Neville a Herbology book to cheer him up -RRB- , Moody shows the entire class the three curses using spiders as his test subjects : The Imperius , a mind control spell , The Cruciatus , a pain inflicting spell , and The Killing Curse , a spell that causes instant death to any living thing it hits .",-3.4,1," 120",0.178571428571429,0.142857142857143,0.0714285714285714,0.178571428571429,0.0714285714285714,0.178571428571429,0.0714285714285714,0.107142857142857,-0.16771,-0.52686,0.27543
" He also reveals the the use of these spells gain the user a one way ticket to Azkaban",0.75,1," 121",0,0.5,0,0,0.5,0,0,0,0.50875,-1.3075,0.73125
" Later that night after dinner in their Common Room , Harry and Ronald fake their Divination homework after finding it too difficult .",-0.65,1," 122",0.2,0.2,0,0.4,0,0.2,0,0,0.09875,-1.125,0.2725
" Harry notices Fred and George plotting something , though he is unable to figure out what .",-0.5,1," 123",0.333333333333333,0,0,0,0,0.666666666666667,0,0,0.014,-1.278,-0.126
" Later on , Hermione shows up and reveals that she has started Society , a club for fighting for house-elf rights and has just spent time in the library researching house-elf history .",-0.45,1," 124",0.4,0.2,0.2,0.2,0,0,0,0,0.82115,-0.90692,0.75462
" She wants Harry and Ronald to join , but before the conversation is carried out further , Hedwig returns with a letter from Sirius .",0.25,1," 125",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.96571,-1.40214,0.49357
" Sirius says there are rumours about Harry 's scar hurting and he is returning to Great .",-1,1," 126",0.333333333333333,0,0.111111111111111,0.222222222222222,0,0.333333333333333,0,0,0.41143,-0.71571,0.43857
" Harry feels worried about Sirius coming back and possibly getting caught by the Ministry , all because he hastily sent the letter .",-1.15,1," 127",0.142857142857143,0.285714285714286,0,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0.37111,-1.20833,0.34389
" He goes to bed unsettled .",-0.75,1," 128",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,1.74,-1.07,1.03
" Early the next day , a concerned Harry sends a letter to Sirius claiming he is fine and that Sirius wo n't have to return to Great .",0.15,1," 129",0.2,0.2,0,0.2,0,0.4,0,0,0.91091,-1.43682,0.80591
" Over the next couple of weeks , Harry fights off his concerns for Sirius while waiting for Hedwig to get back .",-0.6,1," 130",0.5,0,0,0,0,0.5,0,0,0.19571,-0.83,0.32857
" In Defence Against the Dark Arts , Moody has his students practise resisting the Imperius Curse .",-2.7,1," 131",0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.363636363636364,0,0,-0.03429,-0.69429,0.52286
" Only Harry is able to resist it , despite slightly bruising his knees in the process ; it takes him a couple more tries before he can completely resist it .",-1.2,1," 132",0.5,0,0,0,0,0.5,0,0,0.20955,-1.07273,0.57136
" During Transfiguration , Minerva explains to her fourth-year students , as she assigns them extra homework , that this is the time for them to start preparing for the O.W.L. examinations , which will occur at the end of their next year .",0.4,1," 133",0,0.666666666666667,0,0.333333333333333,0,0,0,0,0.48607,-1.16714,0.68286
